实体,维度,Key,Code,Label
employee,status,DISABLED,0,禁用
employee,status,ACTIVE,1,激活
store,status,CLOSED,0,休息中
store,status,OPEN,1,营业中
store,status,PENDING,2,筹备中
store,status,DEFUNCT,3,已注销
product,global_status,GLOBAL_DISABLED,0,全局下架
product,global_status,GLOBAL_ACTIVE,1,全局上架
product,store_status,STORE_DISABLED,0,门店售罄
product,store_status,STORE_ACTIVE,1,门店可售
customization_item,status,DISABLED,0,禁用
customization_item,status,ACTIVE,1,激活
customization_option,global_status,GLOBAL_DISABLED,0,全局禁用
customization_option,global_status,GLOBAL_ACTIVE,1,全局激活
customization_option,store_status,STORE_DISABLED,0,门店禁用
customization_option,store_status,STORE_ACTIVE,1,门店激活
ingredient,status,ACTIVE,0,禁用
ingredient,status,DISABLED,1,激活
customer,status,ACTIVE,0,禁用
customer,status,DISABLED,1,激活
order,payment_status,PENDING,0,支付中
order,payment_status,PAID,1,已支付
order,payment_status,REFUNDING,2,退款中
order,payment_status,REFUNDED,3,已退款
order,payment_method,CASH,0,现金
order,payment_method,ALIPAY,1,支付宝
order,payment_method,WEIXIN,2,微信
order,making_status,PENDING,0,待制作
order,making_status,PREPARING,1,制作中
order,making_status,READY,2,制作完成
order,making_status,COLLECTED,3,已取餐
order,source,OFFLINE,0,线下点餐
order,source,ALIPAY,1,支付宝
order,source,WEIXIN,2,微信
